cod_comuna,ag,cod_barrio,barrio,formalidad,ue026a1_nu,ciiu_2,label_ciiu2,ciiu_3,label_ciiu3,ciiu_4,label_ciiu4,x,y
1,842792,117,VISTA HERMOSA,Formal,2,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1056338.509,873674.7435
1,842803,117,VISTA HERMOSA,Formal,2,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1542,Elaboración de almidones y de productos derivados del almidón,1055940.027,873754.6545
1,842823,117,VISTA HERMOSA,Formal,2,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1055843.391,873604.1114
1,842824,132,LA LENGUA,Formal,1,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1055855.59,873711.7083
1,842841,52,SIN DEFINIR,Formal,3,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1054838.794,874366.0176
1,842842,52,SIN DEFINIR,Informal,1,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1542,Elaboración de almidones y de productos derivados del almidón,1054394.724,874916.7347
1,842844,52,SIN DEFINIR,Informal,2,19,Curtido y preparado de cueros,192,Fabricación de calzado,1926,Fabricación de partes del calzado,1054398.924,874788.2036
1,842892,131,TERRON COLORADO,Formal,8,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1056696.175,873624.8753
1,842892,131,TERRON COLORADO,Informal,2,19,Curtido y preparado de cueros,192,Fabricación de calzado,1929,Fabricación de calzado ncp,1056710.173,873619.0933
1,842893,131,TERRON COLORADO,Formal,3,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1056797.907,873619.3135
1,842893,131,TERRON COLORADO,Informal,5,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1541,Elaboración de productos de molinería,1056763.712,873589.4365
1,842936,131,TERRON COLORADO,Informal,2,17,Fabricacion de productos textiles,172,Tejedura de productos textiles,1720,Tejedura de productos textiles,1057315.662,873538.3914
1,842936,131,TERRON COLORADO,Informal,1,24,Fabricacion de sustancias y productos quimicos,242,Fabricación de otros productos químicos,2429,Fabricación de otros productos químicos  ncp,1057138.822,873494.2882
1,842937,131,TERRON COLORADO,Formal,2,31,Fabricacion de maquinaria y aparatos electricos ncp,312,Fabricación de aparatos de distribución y control de la energía eléctrica,3120,Fabricación de aparatos de distribución y control de la energía electrica.,1057523.463,873582.7485
1,842939,131,TERRON COLORADO,Informal,1,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1057038.47,873334.5204
1,842939,131,TERRON COLORADO,Informal,1,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1057026.639,873303.7658
1,842947,131,TERRON COLORADO,Formal,3,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1541,Elaboración de productos de molinería,1057618.846,873617.8746
1,842947,131,TERRON COLORADO,Formal,4,15,Elaboracion de productos alimenticios y de bebidas,154,"Elaboración de productos de molinería, de almidones y productos derivados del almidón y alimentos preparados para animales",1542,Elaboración de almidones y de productos derivados del almidón,1057608.508,873627.6259
1,842972,115,AGUACATAL,Informal,1,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1057462.484,874007.3812
1,842975,115,AGUACATAL,Informal,2,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1057405.669,873822.7955
1,842996,131,TERRON COLORADO,Informal,2,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1057774.976,873724.3904
1,843003,131,TERRON COLORADO,Formal,3,15,Elaboracion de productos alimenticios y de bebidas,155,"Elaboración de productos de panadería, macarrones, fideos, alcuzcuz y productos farináceos similares",1551,Elaboración de productos de panadería,1058402.024,873730.5902
1,843022,115,AGUACATAL,Formal,21,26,Fabricacion de otros productos minerales no metalicos,269,Fabricación de productos minerales no metálicos ncp,2696,"Corte, tallado y acabado de la piedra",1057868.526,874670.9237
1,843025,115,AGUACATAL,Informal,1,26,Fabricacion de otros productos minerales no metalicos,269,Fabricación de productos minerales no metálicos ncp,2695,Fabricación de artículos de hormigón cemento y yeso,1057671.081,874465.7394
1,843025,115,AGUACATAL,Informal,4,36,Fabricacion de muebles,361,Fabricación de muebles,3611,Fabricación de muebles para el hogar,1057760.568,874420.9577
